Dec. 2, 2021   19:56:59
Amperometric i-t Curve
File: d:\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0.45
Sample Interval (s) = 0.1
Run Time (sec) = 3e+3
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-4

tp = 372.51s
ip = 3.933e-8A
Ap = 3.341e-7C

Time/sec, Current/A

4.790e+1, 2.188e-7
4.800e+1, 2.188e-7
4.810e+1, 2.197e-7
4.820e+1, 2.206e-7
4.830e+1, 2.231e-7
4.840e+1, 2.226e-7
4.850e+1, 2.233e-7
4.860e+1, 2.229e-7
4.870e+1, 2.206e-7
4.880e+1, 2.184e-7
4.890e+1, 2.199e-7
4.900e+1, 2.217e-7
4.910e+1, 2.220e-7
4.920e+1, 2.187e-7
4.930e+1, 2.200e-7
4.940e+1, 2.200e-7
4.950e+1, 2.218e-7
4.960e+1, 2.206e-7
4.970e+1, 2.190e-7
4.980e+1, 2.200e-7
4.990e+1, 2.202e-7
5.000e+1, 2.240e-7
5.010e+1, 2.217e-7
5.020e+1, 2.189e-7
5.030e+1, 2.204e-7
5.040e+1, 2.191e-7
5.050e+1, 2.179e-7
5.060e+1, 2.190e-7
5.070e+1, 2.220e-7
5.080e+1, 2.174e-7
5.090e+1, 2.161e-7
5.100e+1, 2.144e-7
5.110e+1, 2.149e-7
5.120e+1, 2.175e-7
5.130e+1, 2.189e-7
5.140e+1, 2.121e-7
5.150e+1, 2.163e-7
5.160e+1, 2.158e-7
5.170e+1, 2.129e-7
5.180e+1, 2.165e-7
5.190e+1, 2.127e-7
5.200e+1, 2.148e-7
5.210e+1, 2.117e-7
5.220e+1, 2.148e-7
5.230e+1, 2.157e-7
5.240e+1, 2.136e-7
5.250e+1, 2.145e-7
5.260e+1, 2.114e-7
5.270e+1, 2.135e-7
5.280e+1, 2.131e-7
5.290e+1, 2.150e-7
5.300e+1, 2.119e-7
5.310e+1, 2.126e-7
5.320e+1, 2.098e-7
5.330e+1, 2.117e-7
5.340e+1, 2.108e-7
5.350e+1, 2.131e-7
5.360e+1, 2.115e-7
5.370e+1, 2.139e-7
5.380e+1, 2.111e-7
5.390e+1, 2.115e-7
5.400e+1, 2.119e-7
5.410e+1, 2.124e-7
5.420e+1, 2.103e-7
5.430e+1, 2.114e-7
5.440e+1, 2.120e-7
5.450e+1, 2.091e-7
5.460e+1, 2.087e-7
5.470e+1, 2.114e-7
5.480e+1, 2.139e-7
5.490e+1, 2.127e-7
5.500e+1, 2.119e-7
5.510e+1, 2.116e-7
5.520e+1, 2.109e-7
5.530e+1, 2.100e-7
5.540e+1, 2.115e-7
5.550e+1, 2.130e-7
5.560e+1, 2.107e-7
5.570e+1, 2.129e-7
5.580e+1, 2.099e-7
5.590e+1, 2.094e-7
5.600e+1, 2.103e-7
5.610e+1, 2.111e-7
5.620e+1, 2.104e-7
5.630e+1, 2.100e-7
5.640e+1, 2.085e-7
5.650e+1, 2.088e-7
5.660e+1, 2.084e-7
5.670e+1, 2.143e-7
5.680e+1, 2.110e-7
5.690e+1, 2.091e-7
5.700e+1, 2.091e-7
5.710e+1, 2.106e-7
5.720e+1, 2.074e-7
5.730e+1, 2.099e-7
5.740e+1, 2.099e-7
5.750e+1, 2.116e-7
5.760e+1, 2.082e-7
5.770e+1, 2.104e-7
5.780e+1, 2.068e-7
5.790e+1, 2.063e-7
5.800e+1, 2.075e-7
5.810e+1, 2.074e-7
5.820e+1, 2.071e-7
5.830e+1, 2.070e-7
5.840e+1, 2.068e-7
5.850e+1, 2.071e-7
5.860e+1, 2.069e-7
5.870e+1, 2.065e-7
5.880e+1, 2.061e-7
5.890e+1, 2.056e-7
5.900e+1, 2.066e-7
5.910e+1, 2.047e-7
5.920e+1, 2.072e-7
5.930e+1, 2.034e-7
5.940e+1, 2.102e-7
5.950e+1, 2.071e-7
5.960e+1, 2.033e-7
5.970e+1, 2.073e-7
5.980e+1, 2.048e-7
5.990e+1, 2.047e-7
6.000e+1, 2.043e-7
6.010e+1, 2.038e-7
6.020e+1, 2.048e-7
6.030e+1, 2.045e-7
6.040e+1, 2.044e-7
6.050e+1, 2.041e-7
6.060e+1, 2.032e-7
6.070e+1, 2.046e-7
6.080e+1, 2.060e-7
6.090e+1, 2.087e-7
6.100e+1, 2.065e-7
6.110e+1, 2.045e-7
6.120e+1, 2.060e-7
6.130e+1, 2.082e-7
6.140e+1, 2.037e-7
6.150e+1, 2.037e-7
6.160e+1, 2.037e-7
6.170e+1, 2.097e-7
6.180e+1, 2.045e-7
6.190e+1, 2.036e-7
6.200e+1, 2.065e-7
6.210e+1, 2.048e-7
6.220e+1, 2.083e-7
6.230e+1, 2.065e-7
6.240e+1, 2.057e-7
6.250e+1, 2.053e-7
6.260e+1, 2.089e-7
6.270e+1, 2.029e-7
6.280e+1, 2.048e-7
6.290e+1, 2.047e-7
6.300e+1, 2.043e-7
6.310e+1, 2.022e-7
6.320e+1, 2.035e-7
6.330e+1, 2.038e-7
6.340e+1, 2.064e-7
6.350e+1, 2.001e-7
6.360e+1, 2.016e-7
6.370e+1, 2.018e-7
6.380e+1, 2.026e-7
6.390e+1, 2.032e-7
6.400e+1, 2.044e-7
6.410e+1, 2.042e-7
6.420e+1, 2.012e-7
6.430e+1, 2.020e-7
6.440e+1, 2.076e-7
6.450e+1, 2.017e-7
6.460e+1, 2.044e-7
6.470e+1, 2.018e-7
6.480e+1, 2.008e-7
6.490e+1, 1.994e-7
6.500e+1, 2.047e-7
6.510e+1, 2.010e-7
6.520e+1, 2.019e-7
6.530e+1, 2.017e-7
6.540e+1, 2.035e-7
6.550e+1, 2.021e-7
6.560e+1, 2.003e-7
6.570e+1, 2.005e-7
6.580e+1, 2.017e-7
6.590e+1, 2.032e-7
6.600e+1, 1.981e-7
6.610e+1, 2.040e-7
6.620e+1, 1.989e-7
6.630e+1, 2.011e-7
6.640e+1, 1.983e-7
6.650e+1, 2.046e-7
6.660e+1, 2.016e-7
6.670e+1, 2.045e-7
6.680e+1, 1.990e-7
6.690e+1, 1.985e-7
6.700e+1, 2.015e-7
6.710e+1, 2.020e-7
6.720e+1, 1.963e-7
6.730e+1, 1.988e-7
6.740e+1, 1.983e-7
6.750e+1, 1.965e-7
6.760e+1, 2.026e-7
6.770e+1, 1.964e-7
6.780e+1, 1.988e-7
6.790e+1, 1.987e-7
6.800e+1, 2.003e-7
6.810e+1, 1.992e-7
6.820e+1, 1.977e-7
6.830e+1, 2.005e-7
6.840e+1, 2.025e-7
6.850e+1, 1.973e-7
6.860e+1, 1.984e-7
6.870e+1, 1.982e-7
6.880e+1, 1.967e-7
6.890e+1, 1.979e-7
6.900e+1, 1.976e-7
6.910e+1, 1.992e-7
6.920e+1, 1.974e-7
6.930e+1, 1.955e-7
6.940e+1, 1.972e-7
6.950e+1, 1.984e-7
6.960e+1, 1.990e-7
6.970e+1, 1.971e-7
6.980e+1, 1.964e-7
6.990e+1, 1.948e-7
7.000e+1, 1.966e-7
7.010e+1, 1.964e-7
7.020e+1, 1.935e-7
7.030e+1, 1.946e-7
7.040e+1, 1.946e-7
7.050e+1, 1.948e-7
7.060e+1, 1.962e-7
7.070e+1, 1.946e-7
7.080e+1, 1.921e-7
7.090e+1, 1.951e-7
7.100e+1, 1.934e-7
7.110e+1, 1.921e-7
7.120e+1, 1.948e-7
7.130e+1, 1.952e-7
7.140e+1, 1.927e-7
7.150e+1, 1.940e-7
7.160e+1, 1.940e-7
7.170e+1, 1.973e-7
