Dec. 2, 2021   20:40:44
Amperometric i-t Curve
File: d:\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0.45
Sample Interval (s) = 0.1
Run Time (sec) = 3e+3
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-4

tp = 169.20s
ip = 9.721e-9A
Ap = 6.985e-8C

tp = 191.40s
ip = 1.208e-8A
Ap = 5.135e-8C

Time/sec, Current/A
4.310e+1, 3.071e-6
4.320e+1, 3.060e-6
4.330e+1, 3.063e-6
4.340e+1, 3.056e-6
4.350e+1, 3.049e-6
4.360e+1, 3.051e-6
4.370e+1, 3.044e-6
4.380e+1, 3.042e-6
4.390e+1, 3.034e-6
4.400e+1, 3.028e-6
4.410e+1, 3.022e-6
4.420e+1, 3.019e-6
4.430e+1, 3.008e-6
4.440e+1, 3.007e-6
4.450e+1, 2.998e-6
4.460e+1, 2.993e-6
4.470e+1, 2.983e-6
4.480e+1, 2.977e-6
4.490e+1, 2.972e-6
4.500e+1, 2.963e-6
4.510e+1, 2.961e-6
4.520e+1, 2.955e-6
4.530e+1, 2.945e-6
4.540e+1, 2.940e-6
4.550e+1, 2.929e-6
4.560e+1, 2.924e-6
4.570e+1, 2.920e-6
4.580e+1, 2.919e-6
4.590e+1, 2.911e-6
4.600e+1, 2.910e-6
4.610e+1, 2.910e-6
4.620e+1, 2.905e-6
4.630e+1, 2.901e-6
4.640e+1, 2.896e-6
4.650e+1, 2.895e-6
4.660e+1, 2.891e-6
4.670e+1, 2.885e-6
4.680e+1, 2.880e-6
4.690e+1, 2.886e-6
4.700e+1, 2.874e-6
4.710e+1, 2.872e-6
4.720e+1, 2.871e-6
4.730e+1, 2.869e-6
4.740e+1, 2.872e-6
4.750e+1, 2.871e-6
4.760e+1, 2.865e-6
4.770e+1, 2.860e-6
4.780e+1, 2.846e-6
4.790e+1, 2.848e-6
4.800e+1, 2.851e-6
4.810e+1, 2.844e-6
4.820e+1, 2.834e-6
4.830e+1, 2.836e-6
4.840e+1, 2.839e-6
4.850e+1, 2.832e-6
4.860e+1, 2.833e-6
4.870e+1, 2.831e-6
4.880e+1, 2.827e-6
4.890e+1, 2.827e-6
4.900e+1, 2.822e-6
4.910e+1, 2.817e-6
4.920e+1, 2.817e-6
4.930e+1, 2.813e-6
4.940e+1, 2.803e-6
4.950e+1, 2.803e-6
4.960e+1, 2.795e-6
4.970e+1, 2.795e-6
4.980e+1, 2.788e-6
4.990e+1, 2.786e-6
5.000e+1, 2.781e-6
5.010e+1, 2.784e-6
5.020e+1, 2.782e-6
5.030e+1, 2.776e-6
5.040e+1, 2.774e-6
5.050e+1, 2.774e-6
5.060e+1, 2.766e-6
5.070e+1, 2.759e-6
5.080e+1, 2.749e-6
5.090e+1, 2.759e-6
5.100e+1, 2.758e-6
5.110e+1, 2.755e-6
5.120e+1, 2.747e-6
5.130e+1, 2.747e-6
5.140e+1, 2.742e-6
5.150e+1, 2.741e-6
5.160e+1, 2.740e-6
5.170e+1, 2.735e-6
5.180e+1, 2.723e-6
5.190e+1, 2.719e-6
5.200e+1, 2.731e-6
5.210e+1, 2.720e-6
5.220e+1, 2.716e-6
5.230e+1, 2.708e-6
5.240e+1, 2.702e-6
5.250e+1, 2.714e-6
5.260e+1, 2.704e-6
5.270e+1, 2.704e-6
5.280e+1, 2.699e-6
5.290e+1, 2.694e-6
5.300e+1, 2.693e-6
5.310e+1, 2.690e-6
5.320e+1, 2.686e-6
5.330e+1, 2.682e-6
5.340e+1, 2.683e-6
5.350e+1, 2.682e-6
5.360e+1, 2.671e-6
5.370e+1, 2.676e-6
5.380e+1, 2.669e-6
5.390e+1, 2.665e-6
5.400e+1, 2.667e-6
5.410e+1, 2.659e-6
5.420e+1, 2.654e-6
5.430e+1, 2.643e-6
5.440e+1, 2.662e-6
5.450e+1, 2.650e-6
5.460e+1, 2.652e-6
5.470e+1, 2.646e-6
5.480e+1, 2.643e-6
5.490e+1, 2.641e-6
5.500e+1, 2.641e-6
5.510e+1, 2.635e-6
5.520e+1, 2.636e-6
5.530e+1, 2.637e-6
5.540e+1, 2.627e-6
5.550e+1, 2.631e-6
5.560e+1, 2.628e-6
5.570e+1, 2.631e-6
5.580e+1, 2.621e-6
5.590e+1, 2.621e-6
5.600e+1, 2.618e-6
5.610e+1, 2.616e-6
5.620e+1, 2.613e-6
5.630e+1, 2.613e-6
5.640e+1, 2.615e-6
5.650e+1, 2.617e-6
5.660e+1, 2.609e-6
5.670e+1, 2.601e-6
5.680e+1, 2.603e-6
5.690e+1, 2.608e-6
5.700e+1, 2.597e-6
5.710e+1, 2.602e-6
5.720e+1, 2.603e-6
5.730e+1, 2.602e-6
5.740e+1, 2.589e-6
5.750e+1, 2.600e-6
5.760e+1, 2.593e-6
5.770e+1, 2.597e-6
